Statistic,Quarter,Sector,value
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q1,Import of Services (excluding Factor Income Flows),-11507
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q1,Final Domestic Demand,31962
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q1,Total Domestic Demand,32150
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q2,Personal Expenditure on Consumer Goods and Services,17218
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q2,Household & NPISH Final Consumption Expenditure,16713
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,5959
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q2,General Government Expenditure on Goods & Services provided to Households,4123
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q2,General Government Collective Consumption Expenditure,2341
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q2,General Government Final Consumption Expenditure,6464
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q2,Gross Domestic Fixed Capital Formation,9421
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q2,Gross domestic fixed capital formation - Dwellings,NA
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q2,Gross domestic fixed capital formation - Improvements,NA
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q2,Gross domestic fixed capital formation - Other Building and Construction,NA
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q2,Gross domestic fixed capital formation - Transfer Costs,NA
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q2,Gross domestic fixed capital formation - Machinery and Equipment,1893
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q2,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,NA
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q2,Gross domestic fixed capital formation - Intangible Assets,877
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q2,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",6651
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q2,Value of Physical Changes in Stocks,505
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q2,Exports of Goods and Services (excluding Factor Income Flows),26379
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q2,Imports of Goods and Services (excluding Factor Income Flows),-25420
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q2,Gross Domestic Product at Market Prices,38060
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q2,Net Factor Income from the Rest of the World,-3307
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q2,Gross National Product at Market Prices,34752
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q2,Statistical Discrepancy,NA
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q2,Export of Goods (excluding Factor Income Flows),16123
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q2,Import of Goods (excluding Factor Income Flows),-12328
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q2,Export of Services (excluding Factor Income Flows),10256
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q2,Import of Services (excluding Factor Income Flows),-13092
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q2,Final Domestic Demand,32598
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q2,Total Domestic Demand,33103
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q3,Personal Expenditure on Consumer Goods and Services,17336
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q3,Household & NPISH Final Consumption Expenditure,16817
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,6071
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q3,General Government Expenditure on Goods & Services provided to Households,4215
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q3,General Government Collective Consumption Expenditure,2375
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q3,General Government Final Consumption Expenditure,6590
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q3,Gross Domestic Fixed Capital Formation,9292
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q3,Gross domestic fixed capital formation - Dwellings,NA
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q3,Gross domestic fixed capital formation - Improvements,NA
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q3,Gross domestic fixed capital formation - Other Building and Construction,NA
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q3,Gross domestic fixed capital formation - Transfer Costs,NA
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q3,Gross domestic fixed capital formation - Machinery and Equipment,1891
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q3,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,NA
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q3,Gross domestic fixed capital formation - Intangible Assets,835
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q3,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",6566
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q3,Value of Physical Changes in Stocks,40
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q3,Exports of Goods and Services (excluding Factor Income Flows),27582
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q3,Imports of Goods and Services (excluding Factor Income Flows),-26230
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q3,Gross Domestic Product at Market Prices,38877
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q3,Net Factor Income from the Rest of the World,-4261
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q3,Gross National Product at Market Prices,34616
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q3,Statistical Discrepancy,NA
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q3,Export of Goods (excluding Factor Income Flows),16911
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q3,Import of Goods (excluding Factor Income Flows),-12419
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q3,Export of Services (excluding Factor Income Flows),10670
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q3,Import of Services (excluding Factor Income Flows),-13811
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q3,Final Domestic Demand,32699
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q3,Total Domestic Demand,32738
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q4,Personal Expenditure on Consumer Goods and Services,17504
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q4,Household & NPISH Final Consumption Expenditure,16968
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q4,Net Expenditure by Central and Local Govt. on Current Goods and Services,6444
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q4,General Government Expenditure on Goods & Services provided to Households,4470
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q4,General Government Collective Consumption Expenditure,2509
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q4,General Government Final Consumption Expenditure,6979
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q4,Gross Domestic Fixed Capital Formation,9150
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q4,Gross domestic fixed capital formation - Dwellings,NA
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q4,Gross domestic fixed capital formation - Improvements,NA
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q4,Gross domestic fixed capital formation - Other Building and Construction,NA
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q4,Gross domestic fixed capital formation - Transfer Costs,NA
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q4,Gross domestic fixed capital formation - Machinery and Equipment,1834
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q4,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,NA
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q4,Gross domestic fixed capital formation - Intangible Assets,927
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q4,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",6390
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q4,Value of Physical Changes in Stocks,358
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q4,Exports of Goods and Services (excluding Factor Income Flows),28909
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q4,Imports of Goods and Services (excluding Factor Income Flows),-28354
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q4,Gross Domestic Product at Market Prices,39111
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q4,Net Factor Income from the Rest of the World,-4540
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q4,Gross National Product at Market Prices,34571
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q4,Statistical Discrepancy,NA
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q4,Export of Goods (excluding Factor Income Flows),17754
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q4,Import of Goods (excluding Factor Income Flows),-13107
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q4,Export of Services (excluding Factor Income Flows),11155
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q4,Import of Services (excluding Factor Income Flows),-15247
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q4,Final Domestic Demand,33098
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q4,Total Domestic Demand,33456
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q1,Personal Expenditure on Consumer Goods and Services,17828
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q1,Household & NPISH Final Consumption Expenditure,17280
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,6374
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q1,General Government Expenditure on Goods & Services provided to Households,4467
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q1,General Government Collective Consumption Expenditure,2455
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q1,General Government Final Consumption Expenditure,6922
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q1,Gross Domestic Fixed Capital Formation,9981
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q1,Gross domestic fixed capital formation - Dwellings,NA
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q1,Gross domestic fixed capital formation - Improvements,NA
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q1,Gross domestic fixed capital formation - Other Building and Construction,NA
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q1,Gross domestic fixed capital formation - Transfer Costs,NA
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q1,Gross domestic fixed capital formation - Machinery and Equipment,1985
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q1,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,NA
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q1,Gross domestic fixed capital formation - Intangible Assets,1396
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2001Q1,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",6600
